source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon
108386,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,4.62507157,5.40E-09,T of N2O per VKT,792.7097975,km,,8.57E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,75952.83707,8.86E-05,T of CO2 per VKT,792.7097975,km,,8.57E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,30.74161792,3.59E-08,T of CH4 per VKT,792.7097975,km,,8.57E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,79751.66509,5.40E-09,,792.7097975,km,,8.57E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,78131.58183,5.40E-09,,792.7097975,km,,8.57E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
107750,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,3.653953955,5.40E-09,T of N2O per VKT,805.6757842,km,,6.77E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,60005.16213,8.86E-05,T of CO2 per VKT,805.6757842,km,,6.77E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,24.28685798,3.59E-08,T of CH4 per VKT,805.6757842,km,,6.77E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,63006.35735,5.40E-09,,805.6757842,km,,6.77E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,61726.43993,5.40E-09,,805.6757842,km,,6.77E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,3.672206893,5.40E-09,T of N2O per VKT,810.4972791,km,,6.80E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,60304.91153,8.86E-05,T of CO2 per VKT,810.4972791,km,,6.80E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,24.4081804,3.59E-08,T of CH4 per VKT,810.4972791,km,,6.80E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,63321.0989,5.40E-09,,810.4972791,km,,6.80E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
107750,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,62034.78779,5.40E-09,,810.4972791,km,,6.80E+08,vehicle km traveled (VKT),,,Monywa Urban Area in Monywa District,,22.11270486,95.1417403
108104,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,3.42800878,5.40E-09,T of N2O per VKT,812.1599692,km,,6.35E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,56294.69478,8.86E-05,T of CO2 per VKT,812.1599692,km,,6.35E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
